Date,Home/Neutral,PTS,PTS.1,Unnamed: 5,Visitor/Neutral,link,no_box
"Fri, Jul 10, 1998",Sacramento Monarchs,63,55,Box Score,Charlotte Sting,/wnba/boxscores/199807100SAC.html,
"Sat, Jul 11, 1998",Houston Comets,68,72,Box Score,Utah Starzz,/wnba/boxscores/199807110HOU.html,
"Sat, Jul 11, 1998",Washington Mystics,53,78,Box Score,Detroit Shock,/wnba/boxscores/199807110WAS.html,
"Sun, Jul 12, 1998",Los Angeles Sparks,66,87,Box Score,Cleveland Rockers,/wnba/boxscores/199807120LAS.html,
"Sun, Jul 12, 1998",New York Liberty,75,57,Box Score,Charlotte Sting,/wnba/boxscores/199807120NYL.html,
"Mon, Jul 13, 1998",Houston Comets,67,81,Box Score,Washington Mystics,/wnba/boxscores/199807130HOU.html,
"Mon, Jul 13, 1998",Phoenix Mercury,62,72,Box Score,Los Angeles Sparks,/wnba/boxscores/199807130PHO.html,
"Mon, Jul 13, 1998",Utah Starzz,74,67,Box Score,Detroit Shock,/wnba/boxscores/199807130UTA.html,
"Tue, Jul 14, 1998",Sacramento Monarchs,61,58,Box Score,Cleveland Rockers,/wnba/boxscores/199807140SAC.html,
"Wed, Jul 15, 1998",Charlotte Sting,65,72,Box Score,New York Liberty,/wnba/boxscores/199807150CHA.html,
"Wed, Jul 15, 1998",Los Angeles Sparks,76,81,Box Score,Sacramento Monarchs,/wnba/boxscores/199807150LAS.html,
"Wed, Jul 15, 1998",Phoenix Mercury,60,73,Box Score,Detroit Shock,/wnba/boxscores/199807150PHO.html,
"Thu, Jul 16, 1998",Cleveland Rockers,51,60,Box Score,New York Liberty,/wnba/boxscores/199807160CLE.html,
"Fri, Jul 17, 1998",Charlotte Sting,56,86,Box Score,Washington Mystics,/wnba/boxscores/199807170CHA.html,
"Fri, Jul 17, 1998",Detroit Shock,67,79,Box Score,Utah Starzz,/wnba/boxscores/199807170DET.html,
"Fri, Jul 17, 1998",Los Angeles Sparks,74,68,Box Score,Houston Comets,/wnba/boxscores/199807170LAS.html,
"Sat, Jul 18, 1998",Detroit Shock,57,72,Box Score,Cleveland Rockers,/wnba/boxscores/199807180DET.html,
"Sat, Jul 18, 1998",Phoenix Mercury,69,63,Box Score,New York Liberty,/wnba/boxscores/199807180PHO.html,
"Sat, Jul 18, 1998",Sacramento Monarchs,75,44,Box Score,Houston Comets,/wnba/boxscores/199807180SAC.html,
"Sun, Jul 19, 1998",Cleveland Rockers,69,85,Box Score,Charlotte Sting,/wnba/boxscores/199807190CLE.html,
"Sun, Jul 19, 1998",Washington Mystics,99,88,Box Score,Utah Starzz,/wnba/boxscores/199807190WAS.html,
"Mon, Jul 20, 1998",Phoenix Mercury,67,88,Box Score,Sacramento Monarchs,/wnba/boxscores/199807200PHO.html,
"Tue, Jul 21, 1998",Los Angeles Sparks,92,77,Box Score,New York Liberty,/wnba/boxscores/199807210LAS.html,
"Tue, Jul 21, 1998",Phoenix Mercury,65,62,Box Score,Houston Comets,/wnba/boxscores/199807210PHO.html,
"Tue, Jul 21, 1998",Washington Mystics,84,67,Box Score,Charlotte Sting,/wnba/boxscores/199807210WAS.html,
"Wed, Jul 22, 1998",Charlotte Sting,61,58,Box Score,Utah Starzz,/wnba/boxscores/199807220CHA.html,
"Wed, Jul 22, 1998",Detroit Shock,61,76,Box Score,Washington Mystics,/wnba/boxscores/199807220DET.html,
"Thu, Jul 23, 1998",Los Angeles Sparks,68,70,Box Score,Phoenix Mercury,/wnba/boxscores/199807230LAS.html,
"Fri, Jul 24, 1998",Sacramento Monarchs,76,54,Box Score,New York Liberty,/wnba/boxscores/199807240SAC.html,
"Sat, Jul 25, 1998",Charlotte Sting,67,58,Box Score,Houston Comets,/wnba/boxscores/199807250CHA.html,
"Sat, Jul 25, 1998",Cleveland Rockers,59,69,Box Score,Utah Starzz,/wnba/boxscores/199807250CLE.html,
"Sat, Jul 25, 1998",Detroit Shock,67,69,Box Score,Los Angeles Sparks,/wnba/boxscores/199807250DET.html,
"Sun, Jul 26, 1998",New York Liberty,62,78,Box Score,Detroit Shock,/wnba/boxscores/199807260NYL.html,
"Sun, Jul 26, 1998",Washington Mystics,79,65,Box Score,Sacramento Monarchs,/wnba/boxscores/199807260WAS.html,
"Mon, Jul 27, 1998",Charlotte Sting,76,70,Box Score,Sacramento Monarchs,/wnba/boxscores/199807270CHA.html,
"Mon, Jul 27, 1998",Cleveland Rockers,67,83,Box Score,Los Angeles Sparks,/wnba/boxscores/199807270CLE.html,
"Mon, Jul 27, 1998",Utah Starzz,80,90,Box Score,Phoenix Mercury,/wnba/boxscores/199807270UTA.html,
"Tue, Jul 28, 1998",Houston Comets,62,72,Box Score,Phoenix Mercury,/wnba/boxscores/199807280HOU.html,
"Wed, Jul 29, 1998",Cleveland Rockers,67,75,Box Score,Sacramento Monarchs,/wnba/boxscores/199807290CLE.html,
"Wed, Jul 29, 1998",Washington Mystics,77,68,Box Score,Los Angeles Sparks,/wnba/boxscores/199807290WAS.html,
"Thu, Jul 30, 1998",Charlotte Sting,64,79,Box Score,Cleveland Rockers,/wnba/boxscores/199807300CHA.html,
"Thu, Jul 30, 1998",Houston Comets,65,88,Box Score,Utah Starzz,/wnba/boxscores/199807300HOU.html,
"Fri, Jul 31, 1998",Detroit Shock,77,78,Box Score,Sacramento Monarchs,/wnba/boxscores/199807310DET.html,
"Fri, Jul 31, 1998",Los Angeles Sparks,56,71,Box Score,Phoenix Mercury,/wnba/boxscores/199807310LAS.html,
